"Trace Number","Position","Number of points per trace","Elevation data","Total odometer ticks","# bytes/point","Time Sampling Interval (ps)","# of stacks","GPS X Position","GPS Y Position","GPS Z Position","Receiver X Position","Receiver Y Position","Receiver Z Position","Transmitter X Position","Transmitter Y Position","Transmitter Z Position","Timezero adjustment","Zero Trace Flag","Time of Day","Comment flag","Comments","RX_YAW (degrees)","RX_PITCH (degrees)","RX_ROLL (degrees)","TX_YAW (degrees)","TX_PITCH (degrees)","TX_ROLL (degrees)",
244,24.300,200,1761.096,26244,4,400.000,4,-105.2212617,39.7514746,1761.0962000,0.000,24.300,0.000,0.000,24.300,0.000,21.000,"0x0",3185.93017578125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
245,24.400,200,1761.099,26352,4,400.000,4,-105.2212624,39.7514742,1761.0991000,0.000,24.400,0.000,0.000,24.400,0.000,21.000,"0x0",3186.031005859375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
246,24.500,200,1761.102,26460,4,400.000,4,-105.2212631,39.7514739,1761.1020000,0.000,24.500,0.000,0.000,24.500,0.000,21.000,"0x0",3186.12158203125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
247,24.600,200,1761.105,26568,4,400.000,4,-105.2212638,39.7514735,1761.1048182,0.000,24.600,0.000,0.000,24.600,0.000,21.000,"0x0",3186.205322265625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
248,24.700,200,1761.108,26676,4,400.000,4,-105.2212645,39.7514732,1761.1076364,0.000,24.700,0.000,0.000,24.700,0.000,21.000,"0x0",3186.302001953125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
249,24.800,200,1761.110,26784,4,400.000,4,-105.2212652,39.7514729,1761.1104545,0.000,24.800,0.000,0.000,24.800,0.000,21.000,"0x0",3186.395263671875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
250,24.900,200,1761.113,26892,4,400.000,4,-105.2212659,39.7514725,1761.1132727,0.000,24.900,0.000,0.000,24.900,0.000,21.000,"0x0",3186.47998046875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
251,25.000,200,1761.116,27000,4,400.000,4,-105.2212666,39.7514722,1761.1160909,0.000,25.000,0.000,0.000,25.000,0.000,21.000,"0x0",3186.571533203125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
252,25.100,200,1761.119,27108,4,400.000,4,-105.2212673,39.7514718,1761.1189091,0.000,25.100,0.000,0.000,25.100,0.000,21.000,"0x0",3186.659423828125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
253,25.200,200,1761.122,27216,4,400.000,4,-105.2212680,39.7514715,1761.1217273,0.000,25.200,0.000,0.000,25.200,0.000,21.000,"0x0",3186.746826171875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
254,25.300,200,1761.125,27324,4,400.000,4,-105.2212687,39.7514712,1761.1245455,0.000,25.300,0.000,0.000,25.300,0.000,21.000,"0x0",3186.831787109375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
255,25.400,200,1761.127,27432,4,400.000,4,-105.2212694,39.7514708,1761.1273636,0.000,25.400,0.000,0.000,25.400,0.000,21.000,"0x0",3186.927001953125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
256,25.500,200,1761.130,27540,4,400.000,4,-105.2212701,39.7514705,1761.1301818,0.000,25.500,0.000,0.000,25.500,0.000,21.000,"0x0",3187.016357421875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
257,25.600,200,1761.133,27648,4,400.000,4,-105.2212707,39.7514702,1761.1330000,0.000,25.600,0.000,0.000,25.600,0.000,21.000,"0x0",3187.103515625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
258,25.700,200,1761.137,27756,4,400.000,4,-105.2212714,39.7514698,1761.1370000,0.000,25.700,0.000,0.000,25.700,0.000,21.000,"0x0",3187.20263671875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
259,25.800,200,1761.141,27864,4,400.000,4,-105.2212720,39.7514695,1761.1410000,0.000,25.800,0.000,0.000,25.800,0.000,21.000,"0x0",3187.295654296875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
260,25.900,200,1761.145,27972,4,400.000,4,-105.2212727,39.7514692,1761.1450000,0.000,25.900,0.000,0.000,25.900,0.000,21.000,"0x0",3187.387451171875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
