"Trace Number","Position","Number of points per trace","Elevation data","Total odometer ticks","# bytes/point","Time Sampling Interval (ps)","# of stacks","GPS X Position","GPS Y Position","GPS Z Position","Receiver X Position","Receiver Y Position","Receiver Z Position","Transmitter X Position","Transmitter Y Position","Transmitter Z Position","Timezero adjustment","Zero Trace Flag","Time of Day","Comment flag","Comments","RX_YAW (degrees)","RX_PITCH (degrees)","RX_ROLL (degrees)","TX_YAW (degrees)","TX_PITCH (degrees)","TX_ROLL (degrees)",
80,7.900,200,1760.722,8532,4,400.000,4,-105.2211599,39.7515290,1760.7218000,0.000,7.900,0.000,0.000,7.900,0.000,21.000,"0x0",612.551513671875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
81,8.000,200,1760.725,8640,4,400.000,4,-105.2211606,39.7515286,1760.7246000,0.000,8.000,0.000,0.000,8.000,0.000,21.000,"0x0",612.660400390625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
82,8.100,200,1760.727,8748,4,400.000,4,-105.2211613,39.7515283,1760.7274000,0.000,8.100,0.000,0.000,8.100,0.000,21.000,"0x0",612.76885986328125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
83,8.200,200,1760.730,8856,4,400.000,4,-105.2211619,39.7515279,1760.7302000,0.000,8.200,0.000,0.000,8.200,0.000,21.000,"0x0",612.86480712890625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
84,8.300,200,1760.733,8964,4,400.000,4,-105.2211627,39.7515276,1760.7330000,0.000,8.300,0.000,0.000,8.300,0.000,21.000,"0x0",612.971435546875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
85,8.400,200,1760.736,9072,4,400.000,4,-105.2211634,39.7515272,1760.7356000,0.000,8.400,0.000,0.000,8.400,0.000,21.000,"0x0",613.063232421875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
86,8.500,200,1760.738,9180,4,400.000,4,-105.2211641,39.7515268,1760.7382000,0.000,8.500,0.000,0.000,8.500,0.000,21.000,"0x0",613.16552734375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
87,8.600,200,1760.741,9288,4,400.000,4,-105.2211648,39.7515264,1760.7408000,0.000,8.600,0.000,0.000,8.600,0.000,21.000,"0x0",613.2564697265625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
88,8.700,200,1760.743,9396,4,400.000,4,-105.2211655,39.7515260,1760.7434000,0.000,8.700,0.000,0.000,8.700,0.000,21.000,"0x0",613.3497314453125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
89,8.800,200,1760.746,9504,4,400.000,4,-105.2211663,39.7515256,1760.7460000,0.000,8.800,0.000,0.000,8.800,0.000,21.000,"0x0",613.445556640625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
