Line,Lineset\South (CTK Side) Line 1 (E-W)-ch2
Time (ns),Average Amplitude (mV)
-213.624,0.107483
-213.224,0.123963
-212.824,0.167968
-212.424,0.141751
-212.024,0.109431
-211.624,0.0979354
-211.224,0.0738839
-210.824,0.124806
-210.424,0.0862802
-210.024,0.160862
-209.624,0.135153
-209.224,0.158595
-208.824,0.159307
-208.424,0.110114
-208.024,0.126536
-207.624,0.0969762
-207.224,0.0789993
-206.824,0.114314
-206.424,0.0584647
-206.024,0.0675186
-205.624,0.12732
-205.224,0.114575
-204.824,0.115665
-204.424,0.103966
-204.024,0.118528
-203.624,0.117424
-203.224,0.103719
-202.824,0.0614585
-202.424,0.0911196
-202.024,0.13947
-201.624,0.121565
-201.224,0.149265
-200.824,0.142914
-200.424,0.134398
-200.024,0.11193
-199.624,0.0555437
-199.224,0.0693497
-198.824,0.0771246
-198.424,0.103385
-198.024,0.103836
-197.624,0.102266
-197.224,0.068376
-196.824,0.0977319
-196.424,0.0949852
-196.024,0.0996211
-195.624,0.0986765
-195.224,0.112628
-194.824,0.100304
-194.424,0.0680272
-194.024,0.102164
-193.624,0.0867307
-193.224,0.0976302
-192.824,0.103225
-192.424,0.187791
-192.024,0.102906
-191.624,0.0608772
-191.224,0.0691753
-190.824,0.0573457
-190.424,0.162257
-190.024,0.136127
-189.624,0.0845217
-189.224,0.157243
-188.824,0.0655712
-188.424,0.0778077
-188.024,0.0822256
-187.624,0.113936
-187.224,0.154118
-186.824,0.149105
-186.424,0.121754
-186.024,0.0389765
-185.624,0.0832574
-185.224,0.0491929
-184.824,0.0872539
-184.424,0.141838
-184.024,0.142202
-183.624,0.110433
-183.224,0.146663
-182.824,0.12174
-182.424,0.0855826
-182.024,0.155543
-181.624,0.0813827
-181.224,0.0908289
-180.824,0.0795806
-180.424,0.0946655
-180.024,0.129035
-179.624,0.188968
-179.224,0.0981243
-178.824,0.14957
-178.424,0.131651
-178.024,0.152447
-177.624,0.158362
-177.224,0.154351
-176.824,0.145341
-176.424,0.034079
-176.024,0.0990398
-175.624,0.0600779
-175.224,0.0992433
-174.824,0.070149
-174.424,0.167576
-174.024,0.0554274
-173.624,0.170758
-173.224,0.0715732
-172.824,0.134587
-172.424,0.101074
-172.024,0.139731
-171.624,0.0914683
-171.224,0.0671117
-170.824,0.178809
-170.424,0.123091
-170.024,0.0800602
-169.624,0.159757
-169.224,0.124283
-168.824,0.0965983
-168.424,0.0867162
-168.024,0.143437
-167.624,0.108457
-167.224,0.085103
-166.824,0.100609
-166.424,0.117467
-166.024,0.111334
-165.624,0.0933866
-165.224,0.104199
-164.824,0.0960025
-164.424,0.122844
-164.024,0.137653
-163.624,0.08131
-163.224,0.0382789
-162.824,0.0984004
-162.424,0.0629408
-162.024,0.106887
-161.624,0.0569098
-161.224,0.0720527
-160.824,0.09468
-160.424,0.0473473
-160.024,0.133526
-159.624,0.213005
-159.224,0.121754
-158.824,0.0821093
-158.424,0.0921368
-158.024,0.101481
-157.624,0.143175
-157.224,0.0939389
-156.824,0.180452
-156.424,0.111552
-156.024,0.124937
-155.624,0.0777931
-155.224,0.0701344
-154.824,0.138263
-154.424,0.172444
-154.024,0.0802637
-153.624,0.107382
-153.224,0.10183
-152.824,0.0549624
-152.424,0.199388
-152.024,0.173142
-151.624,0.114866
-151.224,0.0620979
-150.824,0.0771392
-150.424,0.0972233
-150.024,0.0505299
-149.624,0.107774
-149.224,0.0896808
-148.824,0.145399
-148.424,0.0452401
-148.024,0.0934593
-147.624,0.138714
-147.224,0.0176426
-146.824,0.0888815
-146.424,0.141693
-146.024,0.0389329
-145.624,0.10571
-145.224,0.0917009
-144.824,0.0753371
-144.424,0.165425
-144.024,0.0864691
-143.624,0.103283
-143.224,0.117191
-142.824,0.0476815
-142.424,0.0729828
-142.024,0.103705
-141.624,0.0980807
-141.224,0.0582468
-140.824,0.103327
-140.424,0.123774
-140.024,0.168462
-139.624,0.0571859
-139.224,0.0896082
-138.824,0.0478269
-138.424,0.151081
-138.024,0.13867
-137.624,0.0696403
-137.224,0.056372
-136.824,0.163608
-136.424,0.111683
-136.024,0.170293
-135.624,0.0696258
-135.224,0.0808305
-134.824,0.0642633
-134.424,0.123905
-134.024,0.0707448
-133.624,0.0791156
-133.224,0.135212
-132.824,0.163666
-132.424,0.0601651
-132.024,0.0691462
-131.624,0.159292
-131.224,0.114197
-130.824,0.0886781
-130.424,0.0599616
-130.024,0.172735
-129.624,0.108094
-129.224,0.0696403
-128.824,0.0900296
-128.424,0.0615021
-128.024,0.121711
-127.624,0.136389
-127.224,0.11722
-126.824,0.136258
-126.424,0.0758603
-126.024,0.043191
-125.624,0.129297
-125.224,0.0808886
-124.824,0.0698147
-124.424,0.0809176
-124.024,0.188764
-123.624,0.0893611
-123.224,0.0844055
-122.824,0.116886
