"","TRACE",1,2,3,4,5
"","Position (m)",0,0.10000000000000001,0.20000000000000001,0.30000000000000004,0.40000000000000002
"Point","Time (ns)"
384,-494.82400000000001,5,-14,-7,-47,78
385,-494.42399999999998,-33,-71,121,97,-118
386,-494.024,-90,23,99,103,110
387,-493.62400000000002,68,-13,7,-89,-68
388,-493.22399999999999,57,78,84,-111,29
389,-492.82400000000001,-40,-36,-105,39,-21
390,-492.42399999999998,-250,-90,66,-36,-21
391,-492.024,-89,-16,-6,-81,7
392,-491.62400000000002,27,74,-12,1,50
393,-491.22399999999999,116,-89,33,-18,55
394,-490.82400000000001,52,78,-118,136,0
395,-490.42399999999998,-32,-52,-12,136,61
396,-490.024,-22,-55,168,-9,-78
397,-489.62400000000002,-72,-115,-144,54,121
398,-489.22399999999999,-51,135,-21,15,7
399,-488.82400000000001,-65,34,109,-91,59
400,-488.42399999999998,-46,-12,35,-49,131
401,-488.024,42,-146,24,17,67
402,-487.62400000000002,-46,15,-44,-14,-55
403,-487.22399999999999,-33,13,-91,-82,48
404,-486.82400000000001,14,-3,-47,-30,-94
405,-486.42399999999998,27,-61,-95,45,32
406,-486.024,-12,81,21,13,71
407,-485.62400000000002,22,41,38,54,-221
408,-485.22399999999999,96,11,64,-17,52
409,-484.82400000000001,27,21,-32,71,85
410,-484.42399999999998,-71,-16,-18,24,-144
411,-484.024,51,-5,-138,-25,58
412,-483.62400000000002,-75,-69,9,20,-79
413,-483.22399999999999,-34,92,63,-40,38
414,-482.82400000000001,98,31,-6,-34,-27
415,-482.42399999999998,50,-82,145,111,52
416,-482.024,25,20,62,-43,52
417,-481.62400000000002,24,-83,-33,-74,82
418,-481.22399999999999,154,47,-94,44,8
419,-480.82400000000001,-97,-21,78,176,-7
420,-480.42399999999998,-167,-57,117,-89,172
421,-480.024,31,63,-108,-83,10
422,-479.62400000000002,-11,-112,-20,-167,23
423,-479.22399999999999,-22,-11,52,69,-22
424,-478.82400000000001,36,-25,-125,-99,-173
425,-478.42399999999998,-83,122,43,-13,22
426,-478.024,44,-8,76,158,42
427,-477.62400000000002,146,72,30,-9,-8
428,-477.22399999999999,115,39,21,-107,80
429,-476.82400000000001,-126,-77,21,141,176
430,-476.42399999999998,-59,9,54,-69,-104
431,-476.024,-52,-48,2,-34,16
432,-475.62400000000002,-91,47,-25,133,41
433,-475.22399999999999,69,-45,10,-164,188
434,-474.82400000000001,-26,-54,-45,-47,-40
435,-474.42399999999998,206,91,-8,11,-1
436,-474.024,-71,-40,-116,98,89
437,-473.62400000000002,-67,49,-39,107,-103
438,-473.22399999999999,-108,112,14,148,91
439,-472.82400000000001,-49,-54,36,-14,11
440,-472.42399999999998,223,141,35,-118,67
441,-472.024,7,130,-32,45,14
442,-471.62400000000002,-24,-73,41,110,-34
443,-471.22399999999999,88,23,-46,-44,22
444,-470.82400000000001,-116,33,38,-1,-65
445,-470.42399999999998,136,-57,53,-51,-53
446,-470.024,-44,-48,75,148,114
447,-469.62400000000002,86,-75,-28,-67,-54
448,-469.22399999999999,111,-66,31,-113,39
449,-468.82400000000001,22,6,-50,25,0
450,-468.42399999999998,141,45,-2,37,33
451,-468.024,28,-131,-24,25,-127
452,-467.62400000000002,-157,97,105,41,-61
453,-467.22399999999999,150,35,76,35,-65
454,-466.82400000000001,-43,-105,-41,107,-105
455,-466.42399999999998,31,56,11,-108,96
456,-466.024,68,-23,4,-56,31
457,-465.62400000000002,11,-33,-40,-6,-6
458,-465.22399999999999,51,33,73,-87,26
459,-464.82400000000001,-65,-186,112,-107,21
460,-464.42399999999998,54,70,-93,14,-38
461,-464.024,-24,-112,-82,-87,-18
462,-463.62400000000002,-15,41,61,50,-31
463,-463.22399999999999,103,-24,-1,52,78
464,-462.82400000000001,-218,25,-108,0,-45
465,-462.42399999999998,-139,-118,-95,-25,30
466,-462.024,56,138,-19,-30,10
467,-461.62400000000002,-67,-8,-23,-3,-34
468,-461.22399999999999,-46,19,54,-101,-50
469,-460.82400000000001,-100,-27,-14,-27,-71
470,-460.42399999999998,67,-30,-126,253,2
471,-460.024,-199,94,47,12,-7
472,-459.62400000000002,219,10,-58,91,-23
473,-459.22399999999999,-194,-27,19,100,-39
474,-458.82400000000001,-10,-103,11,80,-33
475,-458.42399999999998,-91,77,-36,-77,-8
476,-458.024,21,-53,-137,78,61
477,-457.62400000000002,-55,65,-98,-92,12
478,-457.22399999999999,6,41,-59,104,-52
479,-456.82400000000001,44,-1,5,-74,64
480,-456.42399999999998,-85,20,35,53,-52
481,-456.024,56,20,-51,46,33
482,-455.62400000000002,16,-56,57,-79,-51
483,-455.22399999999999,-40,-27,49,19,0
484,-454.82400000000001,-98,-28,-51,-6,-107
485,-454.42399999999998,71,66,74,57,77
486,-454.024,22,-20,-185,67,38
487,-453.62400000000002,89,-58,18,51,-79
488,-453.22399999999999,-2,11,-114,30,124
489,-452.82400000000001,-102,-25,-14,-148,-78
