MST (Seconds),Reading (nT),Date (MM/DD/YY)
53085.0,50269.3,11/20/25
53090.0,50269.5,11/20/25
53095.0,50269.3,11/20/25
53100.0,50269.5,11/20/25
53105.0,50269.8,11/20/25
53110.0,50269.7,11/20/25
53115.0,50269.8,11/20/25
53120.0,50269.6,11/20/25
53125.0,50269.6,11/20/25
53130.0,50269.8,11/20/25
53135.0,50269.6,11/20/25
53140.0,50269.6,11/20/25
53145.0,50269.3,11/20/25
53150.0,50269.3,11/20/25
53155.0,50269.1,11/20/25
53160.0,50269.2,11/20/25
53165.0,50269.4,11/20/25
53170.0,50269.2,11/20/25
53175.0,50269.6,11/20/25
53180.0,50269.3,11/20/25
53185.0,50269.5,11/20/25
53190.0,50269.3,11/20/25
53195.0,50269.3,11/20/25
53200.0,50269.2,11/20/25
53205.0,50269.4,11/20/25
53210.0,50269.5,11/20/25
53215.0,50269.7,11/20/25
53220.0,50269.6,11/20/25
53225.0,50269.5,11/20/25
53230.0,50269.7,11/20/25
53235.0,50269.6,11/20/25
53240.0,50269.5,11/20/25
53245.0,50269.5,11/20/25
53250.0,50269.1,11/20/25
53255.0,50269.0,11/20/25
53260.0,50269.0,11/20/25
53265.0,50268.8,11/20/25
53270.0,50268.6,11/20/25
53275.0,50268.4,11/20/25
53280.0,50268.5,11/20/25
53285.0,50268.2,11/20/25
53290.0,50268.3,11/20/25
53295.0,50268.1,11/20/25
53300.0,50268.0,11/20/25
53305.0,50268.0,11/20/25
53310.0,50267.7,11/20/25
53315.0,50268.1,11/20/25
53320.0,50268.2,11/20/25
53325.0,50268.3,11/20/25
53330.0,50268.3,11/20/25
53335.0,50268.5,11/20/25
53340.0,50268.5,11/20/25
53345.0,50268.8,11/20/25
53350.0,50268.5,11/20/25
53355.0,50268.7,11/20/25
53360.0,50268.8,11/20/25
53365.0,50268.8,11/20/25
53370.0,50269.0,11/20/25
53375.0,50268.8,11/20/25
53380.0,50268.9,11/20/25
53385.0,50269.1,11/20/25
53390.0,50269.0,11/20/25
53395.0,50269.1,11/20/25
53400.0,50269.0,11/20/25
53405.0,50269.2,11/20/25
53410.0,50269.1,11/20/25
53415.0,50269.1,11/20/25
53420.0,50269.5,11/20/25
53425.0,50269.2,11/20/25
53430.0,50269.1,11/20/25
53435.0,50269.0,11/20/25
53440.0,50269.2,11/20/25
53445.0,50269.1,11/20/25
53450.0,50269.0,11/20/25
53455.0,50268.9,11/20/25
53460.0,50268.8,11/20/25
53465.0,50268.5,11/20/25
53470.0,50268.3,11/20/25
53475.0,50268.5,11/20/25
53480.0,50268.5,11/20/25
53485.0,50268.9,11/20/25
53490.0,50268.8,11/20/25
53495.0,50268.8,11/20/25
53500.0,50268.9,11/20/25
53505.0,50268.9,11/20/25
53510.0,50268.9,11/20/25
53515.0,50268.7,11/20/25
53520.0,50268.3,11/20/25
53525.0,50268.2,11/20/25
53530.0,50268.0,11/20/25
53535.0,50268.3,11/20/25
53540.0,50268.8,11/20/25
53545.0,50268.9,11/20/25
53550.0,50269.2,11/20/25
53555.0,50269.3,11/20/25
53560.0,50269.5,11/20/25
53565.0,50269.0,11/20/25
53570.0,50269.0,11/20/25
53575.0,50269.2,11/20/25
53580.0,50269.2,11/20/25
53585.0,50269.3,11/20/25
53590.0,50269.3,11/20/25
53595.0,50269.4,11/20/25
53600.0,50269.3,11/20/25
53605.0,50269.0,11/20/25
53610.0,50269.2,11/20/25
53615.0,50268.9,11/20/25
53620.0,50268.9,11/20/25
53625.0,50269.2,11/20/25
53630.0,50269.2,11/20/25
53635.0,50269.6,11/20/25
53640.0,50269.7,11/20/25
53645.0,50270.1,11/20/25
53650.0,50270.2,11/20/25
53655.0,50270.3,11/20/25
53660.0,50270.4,11/20/25
53665.0,50270.2,11/20/25
53670.0,50269.1,11/20/25
53675.0,50269.1,11/20/25
53680.0,50269.7,11/20/25
53685.0,50270.1,11/20/25
53690.0,50270.0,11/20/25
53695.0,50269.9,11/20/25
53700.0,50270.2,11/20/25
53705.0,50270.7,11/20/25
53710.0,50270.6,11/20/25
53715.0,50270.8,11/20/25
53720.0,50270.8,11/20/25
53725.0,50271.1,11/20/25
53730.0,50271.0,11/20/25
53735.0,50271.0,11/20/25
53740.0,50271.4,11/20/25
53745.0,50271.7,11/20/25
53750.0,50271.5,11/20/25
53755.0,50271.7,11/20/25
53760.0,50271.5,11/20/25
53765.0,50271.7,11/20/25
53770.0,50271.8,11/20/25
53775.0,50271.8,11/20/25
53780.0,50271.8,11/20/25
53785.0,50271.7,11/20/25
53790.0,50271.6,11/20/25
53795.0,50271.8,11/20/25
53800.0,50271.7,11/20/25
53805.0,50271.5,11/20/25
53810.0,50271.4,11/20/25
53815.0,50271.0,11/20/25
53820.0,50271.2,11/20/25
53825.0,50271.2,11/20/25
53830.0,50270.9,11/20/25
53835.0,50271.0,11/20/25
53840.0,50271.2,11/20/25
53845.0,50271.8,11/20/25
53850.0,50271.9,11/20/25
53855.0,50271.9,11/20/25
53860.0,50272.1,11/20/25
53865.0,50272.4,11/20/25
53870.0,50272.4,11/20/25
53875.0,50272.3,11/20/25
53880.0,50272.8,11/20/25
53885.0,50272.9,11/20/25
53890.0,50272.8,11/20/25
53895.0,50272.7,11/20/25
53900.0,50272.8,11/20/25
53905.0,50272.8,11/20/25
53910.0,50272.8,11/20/25
53915.0,50272.6,11/20/25
53920.0,50272.4,11/20/25
