Date (MM/DD/YYYY),Time (HH:MM:SS.S MST),MST (Sec),Latitude (Deg N),Longitude (Deg E),Mag (nT),Easting (m),Northing (m),UTM Zone
11/20/2025,15:29:28.9,55768.9,39.75128468,-105.2215169,50202.63692533632,481022.952064383,4400176.303110592,13S
11/20/2025,15:29:29.0,55769.0,39.75128463,-105.2215169,50202.42388849708,481022.95205066365,4400176.297561313,13S
11/20/2025,15:29:29.1,55769.1,39.75128447,-105.2215169,50202.50538490827,481022.95200676174,4400176.279803617,13S
11/20/2025,15:29:29.2,55769.2,39.75128432,-105.221517,50202.57031056149,481022.94339873357,4400176.263176956,13S
11/20/2025,15:29:29.3,55769.3,39.75128416,-105.221517,50202.549469911486,481022.94335483154,4400176.245419261,13S
11/20/2025,15:29:29.4,55769.4,39.75128401,-105.221517,50202.50462508827,481022.9433136735,4400176.228771419,13S
11/20/2025,15:29:29.5,55769.5,39.75128385,-105.2215171,50202.467183369656,481022.93470290134,4400176.211034904,13S
11/20/2025,15:29:29.6,55769.6,39.75128369,-105.2215171,50202.47451615743,481022.9346589993,4400176.193277209,13S
11/20/2025,15:29:29.7,55769.7,39.75128354,-105.2215172,50202.41889776881,481022.92605097103,4400176.176650549,13S
11/20/2025,15:29:29.8,55769.8,39.75128338,-105.2215172,50202.40563813445,481022.926007069,4400176.158892852,13S
11/20/2025,15:29:29.9,55769.9,39.75128323,-105.2215172,50202.29598899555,481022.9259659109,4400176.142245013,13S
11/20/2025,15:29:30.0,55770.0,39.75128307,-105.2215173,50202.299846252994,481022.9173551386,4400176.124508499,13S
11/20/2025,15:29:30.1,55770.1,39.75128321,-105.2215172,50202.24993873282,481022.92596042313,4400176.140025302,13S
11/20/2025,15:29:30.2,55770.2,39.75128334,-105.2215172,50202.299726670906,481022.9259960935,4400176.15445343,13S
11/20/2025,15:29:30.3,55770.3,39.75128348,-105.2215171,50202.34116695159,481022.934601378,4400176.169970234,13S
11/20/2025,15:29:30.4,55770.4,39.75128361,-105.2215171,50202.26242692721,481022.93463704834,4400176.1843983615,13S
11/20/2025,15:29:30.5,55770.5,39.75128374,-105.221517,50202.403153001454,481022.9432395889,4400176.19880531,13S
11/20/2025,15:29:30.6,55770.6,39.75128388,-105.221517,50202.56204112119,481022.94327800313,4400176.214343294,13S
11/20/2025,15:29:30.7,55770.7,39.75128401,-105.221517,50202.56813763459,481022.9433136735,4400176.228771419,13S
11/20/2025,15:29:30.8,55770.8,39.75128415,-105.2215169,50202.49405178297,481022.9519189578,4400176.244288225,13S
11/20/2025,15:29:30.9,55770.9,39.75128428,-105.2215169,50202.62200769675,481022.95195462817,4400176.258716352,13S
11/20/2025,15:29:31.0,55771.0,39.75128442,-105.2215168,50202.71581627228,481022.96055991243,4400176.274233156,13S
11/20/2025,15:29:31.1,55771.1,39.75128458,-105.2215171,50203.38758720527,481022.93490320415,4400176.292054391,13S
11/20/2025,15:29:31.2,55771.2,39.75128475,-105.2215173,50205.352273388606,481022.91781610996,4400176.310964304,13S
11/20/2025,15:29:31.3,55771.3,39.75128491,-105.2215175,50207.7915841956,481022.9007262719,4400176.3287643595,13S
11/20/2025,15:29:31.4,55771.4,39.75128507,-105.2215178,50210.32938535337,481022.875069564,4400176.346585592,13S
11/20/2025,15:29:31.5,55771.5,39.75128523,-105.221518,50212.64944942698,481022.8579797261,4400176.364385648,13S
11/20/2025,15:29:31.6,55771.6,39.7512854,-105.2215183,50216.16519846277,481022.83232576225,4400176.383316739,13S
11/20/2025,15:29:31.7,55771.7,39.75128556,-105.2215185,50219.81346241166,481022.81523592246,4400176.401116795,13S
11/20/2025,15:29:31.8,55771.8,39.75128572,-105.2215187,50223.93358534989,481022.7981460848,4400176.418916849,13S
11/20/2025,15:29:31.9,55771.9,39.75128589,-105.221519,50228.24669930263,481022.77249211917,4400176.437847941,13S
11/20/2025,15:29:32.0,55772.0,39.75128605,-105.2215192,50231.89770676972,481022.75540228176,4400176.455647997,13S
11/20/2025,15:29:32.1,55772.1,39.7512865,-105.2215197,50233.14759245801,481022.7126914081,4400176.505697415,13S
11/20/2025,15:29:32.2,55772.2,39.75128696,-105.2215203,50230.635758131066,481022.6614164092,4400176.55687787,13S
11/20/2025,15:29:32.3,55772.3,39.75128742,-105.2215208,50228.35883560933,481022.6187082807,4400176.608037144,13S
11/20/2025,15:29:32.4,55772.4,39.75128787,-105.2215213,50227.16570850822,481022.5759974044,4400176.658086564,13S
